00001 A00     0 Cholera                                                      Cholera
05365 F13950  1 Sedatv/hyp/anxiolytc use, unsp w psych disorder w delusions  Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions
05366 F13951  1 Sedatv/hyp/anxiolytc use, unsp w psych disorder w hallucin   Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations
05367 F13959  1 Sedatv/hyp/anxiolytc use, unsp w psychotic disorder, unsp    Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified
05368 F1396   1 Sedatv/hyp/anxiolytc use, unsp w persist amnestic disorder   Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder
05369 F1397   1 Sedatv/hyp/anxiolytc use, unsp w persisting dementia         Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia
05370 F1398   0 Sedative, hypnotic or anxiolytic use, unsp w oth disorders   Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorders
05371 F13980  1 Sedatv/hyp/anxiolytc use, unsp w anxiety disorder            Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder
05372 F13981  1 Sedatv/hyp/anxiolytc use, unsp w sexual dysfunction          Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction
05373 F13982  1 Sedative, hypnotic or anxiolytic use, unsp w sleep disorder  Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder
05374 F13988  1 Sedative, hypnotic or anxiolytic use, unsp w oth disorder    Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder
05375 F1399   1 Sedative, hypnotic or anxiolytic use, unsp w unsp disorder   Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder
05376 F14     0 Cocaine related disorders                                    Cocaine related disorders
05377 F141    0 Cocaine abuse                                                Cocaine abuse
05378 F1410   1 Cocaine abuse, uncomplicated                                 Cocaine abuse, uncomplicated
05379 F1411   1 Cocaine abuse, in remission                                  Cocaine abuse, in remission
05380 F1412   0 Cocaine abuse with intoxication                              Cocaine abuse with intoxication
05381 F14120  1 Cocaine abuse with intoxication, uncomplicated               Cocaine abuse with intoxication, uncomplicated
05382 F14121  1 Cocaine abuse with intoxication with delirium                Cocaine abuse with intoxication with delirium
05383 F14122  1 Cocaine abuse with intoxication with perceptual disturbance  Cocaine abuse with intoxication with perceptual disturbance
05384 F14129  1 Cocaine abuse with intoxication, unspecified                 Cocaine abuse with intoxication, unspecified
05385 F1413   1 Cocaine abuse, unspecified with withdrawal                   Cocaine abuse, unspecified with withdrawal
05386 F1414   1 Cocaine abuse with cocaine-induced mood disorder             Cocaine abuse with cocaine-induced mood disorder
05387 F1415   0 Cocaine abuse with cocaine-induced psychotic disorder        Cocaine abuse with cocaine-induced psychotic disorder
05388 F14150  1 Cocaine abuse w cocaine-induc psychotic disorder w delusions Cocaine abuse with cocaine-induced psychotic disorder with delusions
05389 F14151  1 Cocaine abuse w cocaine-induc psychotic disorder w hallucin  Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
05390 F14159  1 Cocaine abuse with cocaine-induced psychotic disorder, unsp  Cocaine abuse with cocaine-induced psychotic disorder, unspecified
05391 F1418   0 Cocaine abuse with other cocaine-induced disorder            Cocaine abuse with other cocaine-induced disorder
05392 F14180  1 Cocaine abuse with cocaine-induced anxiety disorder          Cocaine abuse with cocaine-induced anxiety disorder
05393 F14181  1 Cocaine abuse with cocaine-induced sexual dysfunction        Cocaine abuse with cocaine-induced sexual dysfunction
05394 F14182  1 Cocaine abuse with cocaine-induced sleep disorder            Cocaine abuse with cocaine-induced sleep disorder
05395 F14188  1 Cocaine abuse with other cocaine-induced disorder            Cocaine abuse with other cocaine-induced disorder
05396 F1419   1 Cocaine abuse with unspecified cocaine-induced disorder      Cocaine abuse with unspecified cocaine-induced disorder
05397 F142    0 Cocaine dependence                                           Cocaine dependence
05398 F1420   1 Cocaine dependence, uncomplicated                            Cocaine dependence, uncomplicated
05399 F1421   1 Cocaine dependence, in remission                             Cocaine dependence, in remission
05400 F1422   0 Cocaine dependence with intoxication                         Cocaine dependence with intoxication
05401 F14220  1 Cocaine dependence with intoxication, uncomplicated          Cocaine dependence with intoxication, uncomplicated
05402 F14221  1 Cocaine dependence with intoxication delirium                Cocaine dependence with intoxication delirium
05403 F14222  1 Cocaine dependence w intoxication w perceptual disturbance   Cocaine dependence with intoxication with perceptual disturbance
05404 F14229  1 Cocaine dependence with intoxication, unspecified            Cocaine dependence with intoxication, unspecified
05405 F1423   1 Cocaine dependence with withdrawal                           Cocaine dependence with withdrawal
05406 F1424   1 Cocaine dependence with cocaine-induced mood disorder        Cocaine dependence with cocaine-induced mood disorder
05407 F1425   0 Cocaine dependence with cocaine-induced psychotic disorder   Cocaine dependence with cocaine-induced psychotic disorder
05408 F14250  1 Cocaine depend w cocaine-induc psych disorder w delusions    Cocaine dependence with cocaine-induced psychotic disorder with delusions
05409 F14251  1 Cocaine depend w cocaine-induc psychotic disorder w hallucin Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
05410 F14259  1 Cocaine dependence w cocaine-induc psychotic disorder, unsp  Cocaine dependence with cocaine-induced psychotic disorder, unspecified
05411 F1428   0 Cocaine dependence with other cocaine-induced disorder       Cocaine dependence with other cocaine-induced disorder
05412 F14280  1 Cocaine dependence with cocaine-induced anxiety disorder     Cocaine dependence with cocaine-induced anxiety disorder
05413 F14281  1 Cocaine dependence with cocaine-induced sexual dysfunction   Cocaine dependence with cocaine-induced sexual dysfunction
05414 F14282  1 Cocaine dependence with cocaine-induced sleep disorder       Cocaine dependence with cocaine-induced sleep disorder
05415 F14288  1 Cocaine dependence with other cocaine-induced disorder       Cocaine dependence with other cocaine-induced disorder
05416 F1429   1 Cocaine dependence with unspecified cocaine-induced disorder Cocaine dependence with unspecified cocaine-induced disorder
05417 F149    0 Cocaine use, unspecified                                     Cocaine use, unspecified
05418 F1490   1 Cocaine use, unspecified, uncomplicated                      Cocaine use, unspecified, uncomplicated
05419 F1491   1 Cocaine use, unspecified, in remission                       Cocaine use, unspecified, in remission
05420 F1492   0 Cocaine use, unspecified with intoxication                   Cocaine use, unspecified with intoxication
05421 F14920  1 Cocaine use, unspecified with intoxication, uncomplicated    Cocaine use, unspecified with intoxication, uncomplicated
05422 F14921  1 Cocaine use, unspecified with intoxication delirium          Cocaine use, unspecified with intoxication delirium
05423 F14922  1 Cocaine use, unsp w intoxication with perceptual disturbance Cocaine use, unspecified with intoxication with perceptual disturbance
05424 F14929  1 Cocaine use, unspecified with intoxication, unspecified      Cocaine use, unspecified with intoxication, unspecified
05425 F1493   1 Cocaine use, unspecified with withdrawal                     Cocaine use, unspecified with withdrawal
05426 F1494   1 Cocaine use, unspecified with cocaine-induced mood disorder  Cocaine use, unspecified with cocaine-induced mood disorder
05427 F1495   0 Cocaine use, unsp with cocaine-induced psychotic disorder    Cocaine use, unspecified with cocaine-induced psychotic disorder
05428 F14950  1 Cocaine use, unsp w cocaine-induc psych disorder w delusions Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions
05429 F14951  1 Cocaine use, unsp w cocaine-induc psych disorder w hallucin  Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations
05430 F14959  1 Cocaine use, unsp w cocaine-induced psychotic disorder, unsp Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified
05431 F1498   0 Cocaine use, unspecified with oth cocaine-induced disorder   Cocaine use, unspecified with other specified cocaine-induced disorder
05432 F14980  1 Cocaine use, unsp with cocaine-induced anxiety disorder      Cocaine use, unspecified with cocaine-induced anxiety disorder
05433 F14981  1 Cocaine use, unsp with cocaine-induced sexual dysfunction    Cocaine use, unspecified with cocaine-induced sexual dysfunction
05434 F14982  1 Cocaine use, unspecified with cocaine-induced sleep disorder Cocaine use, unspecified with cocaine-induced sleep disorder
05435 F14988  1 Cocaine use, unspecified with other cocaine-induced disorder Cocaine use, unspecified with other cocaine-induced disorder
05436 F1499   1 Cocaine use, unsp with unspecified cocaine-induced disorder  Cocaine use, unspecified with unspecified cocaine-induced disorder
05437 F15     0 Other stimulant related disorders                            Other stimulant related disorders
05438 F151    0 Other stimulant abuse                                        Other stimulant abuse
05439 F1510   1 Other stimulant abuse, uncomplicated                         Other stimulant abuse, uncomplicated
05440 F1511   1 Other stimulant abuse, in remission                          Other stimulant abuse, in remission
05441 F1512   0 Other stimulant abuse with intoxication                      Other stimulant abuse with intoxication
05442 F15120  1 Other stimulant abuse with intoxication, uncomplicated       Other stimulant abuse with intoxication, uncomplicated
05443 F15121  1 Other stimulant abuse with intoxication delirium             Other stimulant abuse with intoxication delirium
05444 F15122  1 Oth stimulant abuse w intoxication w perceptual disturbance  Other stimulant abuse with intoxication with perceptual disturbance
05445 F15129  1 Other stimulant abuse with intoxication, unspecified         Other stimulant abuse with intoxication, unspecified
05446 F1513   1 Other stimulant abuse with withdrawal                        Other stimulant abuse with withdrawal
05447 F1514   1 Other stimulant abuse with stimulant-induced mood disorder   Other stimulant abuse with stimulant-induced mood disorder
05448 F1515   0 Oth stimulant abuse w stimulant-induced psychotic disorder   Other stimulant abuse with stimulant-induced psychotic disorder
05449 F15150  1 Oth stimulant abuse w stim-induce psych disorder w delusions Other stimulant abuse with stimulant-induced psychotic disorder with delusions
